State,District,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,hospital_count,early life visibility gap,AAE,AAE_log,Average_annual_engagement_normalized,Follow_Through_Failure,district_lat,district_lon,district_location,average_nearest_5_hospitals,,District area
Andaman and Nicobar Islands,Nicobar,64,11,0,992,819,58,733,3,0.1466666666666666,82.66666666666667,4.426840650463674,0.6485336361028176,0.05518553758325404,7.1205395,93.7841503,"(7.1205395, 93.7841503)",64.31764991192892,,1841
Andaman and Nicobar Islands,North and Middle Andaman,128,4,0,3780,2603,112,1897,5,0.030303030303030276,756,6.6293632534374485,0.971203934198054,0.028769586437194964,12.5601347,92.8976254,"(12.5601347, 92.8976254)",10.973497769899641,,3736
Andaman and Nicobar Islands,South Andaman,286,17,0,7033,5469,447,3999,9,0.05610561056105612,390.72222222222223,5.970552971822876,0.8746880075647635,0.05975137013768213,10.7448873,92.49999179999999,"(10.7448873, 92.49999179999999)",5.634676711360516,,298
Andhra Pradesh,Alluri Sitharama Raju,1105,116,34,8438,10169,1569,11302,35,0.09500409500409501,72.11965811965813,4.292097251528538,0.6287936830861884,0.1567745803357314,17.6971337,82.0407137,"(17.6971337, 82.0407137)",8.583377546643455,,12251
Andhra Pradesh,Anakapalli,523,12,8,3542,3181,1772,11688,65,0.02242990654205612,272.46153846153845,5.611160984775805,0.822036961243175,0.33339604891815616,17.6896435,83.0023634,"(17.6896435, 83.0023634)",0.8225532372707935,,4292
Andhra Pradesh,Anantapur,8950,636,10,190449,96850,29860,124855,90,0.06634675568537451,298.97802197802196,5.703709211899291,0.8355953074748103,0.135536289773501,14.6824455,77.6017089,"(14.6824455, 77.6017089)",0.13528763295834753,,19130
Andhra Pradesh,Annamayya,868,48,105,5790,3922,5789,27845,55,0.05240174672489084,118.16326530612245,4.780494530172911,0.7003440477799753,0.49991364421416234,13.9309845,78.74762079999999,"(13.9309845, 78.74762079999999)",3.2121595854585268,,7954
Andhra Pradesh,Bapatla,421,55,16,3899,2083,2008,11506,60,0.11554621848739499,69.625,4.257384189466605,0.6237082078823476,0.33987813134732564,15.9039445,80.46713749999999,"(15.9039445, 80.46713749999999)",3.506706013850139,,3829
Andhra Pradesh,Chittoor,7493,659,43,168727,82711,28657,140979,85,0.08083905789990187,255.6469696969697,5.5477014817944665,0.8127401228287509,0.14518327127187983,13.217176,79.1003289,"(13.217176, 79.1003289)",1.0838965946538266e-05,,15244
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,618,30,17,4352,2954,1752,12404,50,0.04629629629629628,140.38709677419354,4.9515014959336625,0.7253966254669797,0.28697788697788695,16.5765809,82.0031356,"(16.5765809, 82.0031356)",1.4822430227201115,,2083
Andhra Pradesh,East Godavari,7161,507,10,204904,96946,19090,136935,140,0.06611893583724571,403.3543307086614,6.002291549781648,0.8793377198525052,0.08522511663206768,17.0743715,81.73494199999999,"(17.0743715, 81.73494199999999)",4.038018748192019,,2561
Andhra Pradesh,Eluru,568,45,16,4288,3942,2346,15238,70,0.0734094616639478,93.21739130434783,4.5456047856072095,0.6659326216287988,0.35357950263752824,16.7106604,81.0945138,"(16.7106604, 81.0945138)",0.14657290043513024,,6690
Andhra Pradesh,Guntur,8769,925,35,187665,104029,22026,155195,120,0.09541984732824427,202.66198704103672,5.31646169335426,0.778863416470896,0.10503977261888865,16.3066525,80.4365402,"(16.3066525, 80.4365402)",5.931573847080665e-05,,2443
Andhra Pradesh,Kakinada,858,84,27,7141,4557,3621,24648,95,0.08917197452229297,84.01176470588236,4.442789655217269,0.6508701706342754,0.3364303632816129,16.9478217,82.2420317,"(16.9478217, 82.2420317)",0.6953993564822211,,2016
Andhra Pradesh,Krishna,6163,540,34,146788,86459,13459,98390,130,0.08056094286140536,271.3271719038817,5.607004181348004,0.8214279881505216,0.08398856772003395,16.6099914,80.7214417,"(16.6099914, 80.7214417)",5.462774756331234e-05,,3727
Andhra Pradesh,Kurnool,10923,823,24,242992,107641,29378,148267,110,0.07006640558487998,294.8932038834951,5.689998591530019,0.8335866970044112,0.10786023475333277,15.8281257,78.0372792,"(15.8281257, 78.0372792)",3.951050678205352e-05,,17658
Andhra Pradesh,Nandyal,860,39,6,6337,4303,4798,22587,65,0.04338153503893216,158.425,5.071573592201335,0.7429872277351695,0.43085488505747127,15.4776876,78.487285,"(15.4776876, 78.487285)",1.328653470716438,,9697
Andhra Pradesh,Nellore,6467,2089,608,105733,62879,10156,80032,125,0.24415614773258532,50.58995215311005,3.943326927811082,0.5776987139954111,0.08763482612822504,14.4425987,79.98645599999999,"(14.4425987, 79.98645599999999)",3.319301422899437e-05,,13076
Andhra Pradesh,Ntr,790,97,46,6788,6771,4718,33352,80,0.1093573844419391,69.26530612244898,4.252278165227897,0.6229601736233751,0.41001129747110454,16.7358224,80.4103957,"(16.7358224, 80.4103957)",4.713411386771323,,1988
Andhra Pradesh,Palnadu,759,76,25,6007,4046,3955,21540,60,0.09101796407185625,78.01298701298701,4.369612231525499,0.640149653585059,0.3969687845026598,16.3819515,79.8296743,"(16.3819515, 79.8296743)",7.229245409760369,,7649
Andhra Pradesh,Parvathipuram Manyam,464,36,8,5090,5540,1511,7880,40,0.07199999999999995,137.56756756756758,4.931358059139476,0.7224456052385075,0.22887003938200545,18.7958039,83.67739279999999,"(18.7958039, 83.67739279999999)",6.252359413355789,,3659
Andhra Pradesh,Prakasam,6405,1157,61,136533,75766,15519,104979,95,0.15300185136207356,117.9041450777202,4.778317664970658,0.7000251362996681,0.10206309642032713,15.348463,79.560344,"(15.348463, 79.560344)",0,,17626
Andhra Pradesh,Sri Sathya Sai,879,40,19,5704,4711,3953,18154,70,0.043525571273122954,139.1219512195122,4.942513123578548,0.7240798259102805,0.4092979913025471,14.1559561,77.7452081,"(14.1559561, 77.7452081)",3.2440566983768213,,8925
Andhra Pradesh,Srikakulam,4157,135,8,125178,67429,24315,111384,85,0.03145386766076419,920.4264705882352,6.825922980750145,1,0.16264866817397353,18.2949165,83.89380179999999,"(18.2949165, 83.89380179999999)",0.38874884573180973,,5837
Andhra Pradesh,Tirupati,802,689,228,5633,4765,4768,28462,75,0.46210596914822266,8.163768115942029,2.215257460467308,0.32453595897794013,0.4583733897327437,13.6287557,79.4191795,"(13.6287557, 79.4191795)",0.5633994739400014,,8520
Andhra Pradesh,Visakhapatnam,7874,488,42,195385,115918,19864,137329,160,0.0583592441999522,399.560327198364,5.9928643848736725,0.8779566370400326,0.09228339140534263,17.6973801,83.29902539999999,"(17.6973801, 83.29902539999999)",0.7934878316649856,,11161
Andhra Pradesh,Vizianagaram,3695,158,3,101296,58702,11069,67818,80,0.04100700752660269,637.0817610062893,6.458466427181493,0.9461674919853447,0.0985084456152217,18.1066576,83.39555059999999,"(18.1066576, 83.39555059999999)",6.125718126758211e-05,,4123
Andhra Pradesh,West Godavari,5568,343,24,139979,80435,14258,112548,115,0.05802740653019789,406.9156976744186,6.011060529707604,0.8806223783449442,0.09244155136866401,16.6475969,81.6035062,"(16.6475969, 81.6035062)",2.068277459605035,,2178
Andhra Pradesh,Ysr Kadapa,6257,465,35,120310,59094,15235,96618,100,0.06917584052365366,258.17596566523605,5.557507235121926,0.8141766689713184,0.11239726734835406,14.5767233,78.8382644,"(14.5767233, 78.8382644)",4.230138003323412,,15359
Arunachal Pradesh,Anjaw,23,11,3,675,496,128,632,12,0.32352941176470584,56.25,4.047427642434349,0.592949503510154,0.15920398009950248,28.0359962,96.83509989999999,"(28.0359962, 96.83509989999999)",35.67023224293867,,6190
Arunachal Pradesh,Changlang,486,304,13,5436,2747,690,4969,28,0.38481012658227853,17.82295081967213,2.9350769135602253,0.42998974964081277,0.11261628855883793,27.1355348,95.73644170000001,"(27.1355348, 95.73644170000001)",21.319459541229236,,4662
Arunachal Pradesh,Dibang Valley,7,3,0,313,158,28,132,10,0.30000000000000004,78.25,4.37260741275739,0.6405884486374407,0.08187134502923976,28.7312796,95.89871389999999,"(28.7312796, 95.89871389999999)",33.541588427663115,,9129
Arunachal Pradesh,East Kameng,88,79,14,2690,1607,292,1130,18,0.4730538922155688,33.625,3.544575964507503,0.5192815644863849,0.09788803218236675,27.6141916,92.8577105,"(27.6141916, 92.8577105)",31.13846328543023,,4134
Arunachal Pradesh,East Siang,80,86,2,2242,1079,423,2080,45,0.5180722891566265,25.770114942528735,3.287286151229757,0.48158852077591063,0.15866466616654162,28.0550482,95.35208759999999,"(28.0550482, 95.35208759999999)",9.813228923254805,,4005
Arunachal Pradesh,Kamle,3,25,2,57,86,64,254,8,0.8928571428571429,2.1923076923076925,1.160744069775116,0.17004939449925557,0.5245901639344263,27.7996255,94.0747664,"(27.7996255, 94.0747664)",35.00487101092911,,1200
Arunachal Pradesh,Kra Daadi,18,59,4,717,523,145,369,9,0.7662337662337663,11.95,2.5610957881455465,0.37520138966819855,0.16801853997682503,28.0157633,93.7029002,"(28.0157633, 93.7029002)",61.414356388356694,,2207
Arunachal Pradesh,Kurung Kumey,19,44,12,1299,2091,106,229,11,0.6984126984126984,28.866666666666667,3.3967430313127753,0.4976239903221828,0.07539118065433854,28.073758,93.2583626,"(28.073758, 93.2583626)",40.310048162150935,,6040
Arunachal Pradesh,Leparada,0,2,1,34,2,8,15,10,1,11.333333333333334,2.512305623976115,0.36805361429671757,0.18604651162790697,27.8895239,94.7691586,"(27.8895239, 94.7691586)",26.211138429789894,,1800
Arunachal Pradesh,Lohit,102,63,1,1796,2095,212,1654,30,0.38181818181818183,28.0625,3.369448683347575,0.4936253592151262,0.1055251368840219,28.0682343,96.15269850000001,"(28.0682343, 96.15269850000001)",14.75798575047529,,2402
Arunachal Pradesh,Longding,141,719,37,1611,988,263,1222,14,0.836046511627907,2.2375,1.1748014270256562,0.17210880203874634,0.14026666666666668,26.837169,95.35208759999999,"(26.837169, 95.35208759999999)",3.9300059092903177,,1200
Arunachal Pradesh,Lower Dibang Valley,58,49,2,1373,875,186,971,12,0.4579439252336449,27.46,3.3484995926617063,0.4905563104220256,0.11923076923076924,28.0829633,95.81428849999999,"(28.0829633, 95.81428849999999)",27.19918945196512,,3900
Arunachal Pradesh,Lower Siang,10,18,3,359,54,70,269,9,0.6428571428571428,18.894736842105264,2.9904552164531473,0.43810268953906456,0.16279069767441862,27.8015684,94.6037231,"(27.8015684, 94.6037231)",22.21618128829389,,2250
Arunachal Pradesh,Lower Subansiri,50,55,0,1530,1150,198,1323,22,0.5238095238095238,27.321428571428573,3.3436187114596443,0.4898412596932338,0.11451706188548294,27.5910076,93.8248241,"(27.5910076, 93.8248241)",26.33259013423949,,3508
Arunachal Pradesh,Namsai,95,54,1,3561,2442,221,1914,35,0.36241610738255037,64.74545454545455,4.185790536279597,0.6132197137418612,0.058419243986254296,27.6666459,95.8625935,"(27.6666459, 95.8625935)",3.0330602725145157,,1587
Arunachal Pradesh,Pakke Kessang,2,1,1,30,44,14,73,8,0.33333333333333337,15,2.772588722239781,0.4061851752589044,0.3111111111111111,27.0471985,93.0175712,"(27.0471985, 93.0175712)",10.98809343498827,,1900
Arunachal Pradesh,Papum Pare,201,241,5,4835,4424,770,4152,70,0.5452488687782806,19.979338842975206,3.043538088790708,0.445879348093118,0.13735283624687836,27.2240654,93.5003454,"(27.2240654, 93.5003454)",12.246332998125053,,2875
Arunachal Pradesh,Shi-yomi,8,22,5,210,319,43,195,7,0.7333333333333334,9.130434782608695,2.315544237636551,0.3392280053798791,0.16929133858267717,28.69787119999999,94.315422,"(28.69787119999999, 94.315422)",26.39992473121859,,2875
Arunachal Pradesh,Siang,39,60,4,880,429,175,602,12,0.6060606060606061,14.426229508196721,2.7360692754120683,0.4008350640826281,0.16571969696969696,28.5006832,94.645035,"(28.5006832, 94.645035)",24.766147164580076,,2949
Arunachal Pradesh,Tawang,104,43,7,1866,598,209,742,20,0.2925170068027211,42.40909090909091,3.7706688871224143,0.5524042532791705,0.10067437379576108,27.632451,91.7538817,"(27.632451, 91.7538817)",35.306522337734705,,2172
Arunachal Pradesh,Tirap,59,39,1,1371,522,96,894,18,0.3979591836734694,34.275,3.5631744977388777,0.5220062558261238,0.0653950953678474,27.0185604,95.51973939999999,"(27.0185604, 95.51973939999999)",14.411300047612666,,2362
Arunachal Pradesh,Upper Siang,21,21,1,1235,561,199,1122,8,0.5,56.13636363636363,4.045440755231931,0.5926584238703718,0.13867595818815331,28.86128979999999,94.976654,"(28.86128979999999, 94.976654)",46.3522592356062,,6590
Arunachal Pradesh,Upper Subansiri,76,55,12,2462,1704,347,1202,16,0.41984732824427484,43.964285714285715,3.8058685238691434,0.5575610118370968,0.12348754448398576,28.3348801,93.9878427,"(28.3348801, 93.9878427)",14.450068964618765,,7032
Arunachal Pradesh,West Kameng,157,103,18,2967,3205,375,1484,26,0.3961538461538462,28.528846153846153,3.3853676212994497,0.49595748895007447,0.11217469338917141,27.3427633,92.30244599999999,"(27.3427633, 92.30244599999999)",15.996540943721707,,7422
Arunachal Pradesh,West Siang,110,80,2,3345,1301,521,3031,32,0.42105263157894735,41.2962962962963,3.7446995242116263,0.5485997329258023,0.13472976467545902,28.1782689,94.5211935,"(28.1782689, 94.5211935)",9.729740595635894,,8325
