State,District,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,hospital_count,early life visibility gap,AAE,AAE_log,Average_annual_engagement_normalized,Follow_Through_Failure,district_lat,district_lon,district_location,average_nearest_5_hospitals,Unnamed: 19,District area,Unnamed: 22,hospital_count.1,clinical_overhead_index,clinical_overhead_index_log,clinical_overhead_index_log_normalized,clinical_overhead_index_log_scaled_100,engagement_gap,Vaccination gap
Andaman and Nicobar Islands,Nicobar,64,11,0,992,819,58,733,3,0.1466666666666666,82.66666666666667,4.426840650463674,0.6485336361028176,0.055185537583254,7.1205395,93.7841503,"(7.1205395, 93.7841503)",64.31764991192892,,1841,,3,46025.0,10.736961733187352,0.5738295962788422,57.38295962788422,0.35146636389718244,0.1416924868136309
Andaman and Nicobar Islands,North and Middle Andaman,128,4,0,3780,2603,112,1897,5,0.0303030303030302,756.0,6.6293632534374485,0.971203934198054,0.0287695864371949,12.5601347,92.8976254,"(12.5601347, 92.8976254)",10.97349776989964,,3736,,5,98630.4,11.499144948311457,0.6376027048913795,63.76027048913795,0.028796065801946047,0.029280890385297315
Andaman and Nicobar Islands,South Andaman,286,17,0,7033,5469,447,3999,9,0.0561056105610561,390.72222222222223,5.970552971822876,0.8746880075647635,0.0597513701376821,10.7448873,92.4999918,"(10.7448873, 92.49999179999999)",5.634676711360516,,298,,9,10032.666666666666,9.213701384108361,0.4463759266632392,44.637592666323926,0.1253119924352365,0.07489432865648162
Andhra Pradesh,Alluri Sitharama Raju,1105,116,34,8438,10169,1569,11302,35,0.095004095004095,72.11965811965813,4.292097251528538,0.6287936830861884,0.1567745803357314,17.6971337,82.0407137,"(17.6971337, 82.0407137)",8.583377546643455,,12251,,35,439285.85714285716,12.992907911790073,0.762588280302924,76.2588280302924,0.37120631691381156,0.176825316227941
Andhra Pradesh,Anakapalli,523,12,8,3542,3181,1772,11688,65,0.0224299065420561,272.46153846153845,5.611160984775805,0.822036961243175,0.3333960489181561,17.6896435,83.0023634,"(17.6896435, 83.0023634)",0.8225532372707935,,4292,,65,35854.70769230769,10.48725804374029,0.5529364826651217,55.29364826651217,0.17796303875682495,0.10999490657396908
Andhra Pradesh,Anantapur,8950,636,10,190449,96850,29860,124855,90,0.0663467556853745,298.978021978022,5.703709211899291,0.8355953074748103,0.135536289773501,14.6824455,77.6017089,"(14.6824455, 77.6017089)",0.1352876329583475,,19130,,90,2039683.111111111,14.528305506335734,0.8910574929769988,89.10574929769987,0.16440469252518974,0.11391908753618825
Andhra Pradesh,Annamayya,868,48,105,5790,3922,5789,27845,55,0.0524017467248908,118.16326530612244,4.780494530172911,0.7003440477799753,0.4999136442141623,13.9309845,78.74762079999999,"(13.9309845, 78.74762079999999)",3.2121595854585268,,7954,,55,147655.16363636364,11.902641631213498,0.6713639282729786,67.13639282729787,0.2996559522200247,0.19874119074469024
Andhra Pradesh,Bapatla,421,55,16,3899,2083,2008,11506,60,0.1155462184873949,69.625,4.257384189466605,0.6237082078823476,0.3398781313473256,15.9039445,80.46713749999999,"(15.9039445, 80.46713749999999)",3.506706013850139,,3829,,60,31397.8,10.354524954605564,0.5418304893266458,54.183048932664576,0.3762917921176524,0.24539623842193706
Andhra Pradesh,Chittoor,7493,659,43,168727,82711,28657,140979,85,0.0808390578999018,255.6469696969697,5.5477014817944665,0.8127401228287509,0.1451832712718798,13.217176,79.1003289,"(13.217176, 79.1003289)",1.0838965946538266e-05,,15244,,85,1469700.9411764706,14.200570177091665,0.8636353452134267,86.36353452134267,0.18725987717124915,0.13001521699736068
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,618,30,17,4352,2954,1752,12404,50,0.0462962962962962,140.38709677419354,4.951501495933663,0.7253966254669797,0.2869778869778869,16.5765809,82.0031356,"(16.5765809, 82.0031356)",1.4822430227201115,,2083,,50,27703.9,10.22936457183816,0.5313581166400959,53.135811664009594,0.2746033745330203,0.15394544762604587
Andhra Pradesh,East Godavari,7161,507,10,204904,96946,19090,136935,140,0.0661189358372457,403.3543307086614,6.002291549781648,0.8793377198525052,0.0852251166320676,17.0743715,81.73494199999999,"(17.0743715, 81.73494199999999)",4.038018748192019,,2561,,140,140452.55714285714,11.85263215896751,0.6671795544348853,66.71795544348853,0.1206622801474948,0.087933628796659
Andhra Pradesh,Eluru,568,45,16,4288,3942,2346,15238,70,0.0734094616639478,93.21739130434784,4.5456047856072095,0.6659326216287988,0.3535795026375282,16.7106604,81.0945138,"(16.7106604, 81.0945138)",0.1465729004351302,,6690,,70,60114.42857142857,11.004021802576453,0.5961749464168005,59.61749464168005,0.33406737837120115,0.205442865019286
Andhra Pradesh,Guntur,8769,925,35,187665,104029,22026,155195,120,0.0954198473282442,202.66198704103672,5.31646169335426,0.778863416470896,0.1050397726188886,16.3066525,80.4365402,"(16.3066525, 80.4365402)",5.931573847080665e-05,,2443,,120,198066.225,12.196361772254752,0.6959399699446174,69.59399699446173,0.22113658352910404,0.13038201701680208
Andhra Pradesh,Kakinada,858,84,27,7141,4557,3621,24648,95,0.0891719745222929,84.01176470588236,4.442789655217269,0.6508701706342754,0.3364303632816129,16.9478217,82.2420317,"(16.9478217, 82.2420317)",0.6953993564822211,,2016,,95,20563.2,9.931306978862393,0.5064191533141457,50.641915331414566,0.34912982936572456,0.218794722026269
